genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00005			214	1029	+	816		acyltransferase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00015			2841	4115	-	1275		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00020			4274	4825	+	552		TetR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00030			7442	8074	+	633		oxidoreductase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00035			8304	8693	+	390		hypothetical protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00040			8859	9260	+	402		ArsR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00045			9460	10065	-	606		DNA mismatch repair protein MutT				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00050			10081	10833	-	753		alkaline phosphatase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00055			11027	12718	+	1692		pyridine nucleotide-disulfide oxidoreductase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00065			15235	16380	+	1146		succinyl-diaminopimelate desuccinylase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00070			16450	16899	-	450		MarR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00075			17065	18459	+	1395		MFS transporter				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00080			18633	19922	+	1290		enolase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00085			19990	22266	+	2277		metal ABC transporter ATPase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00090			22377	23351	+	975		quinone oxidoreductase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00095			23688	24788	+	1101		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00100			25114	26259	-	1146		lipoprotein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00105			26602	27135	+	534		MarR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00115			27924	30320	+	2397		phosphoenolpyruvate synthase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00120			30475	30981	-	507		MarR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00125			31156	32076	+	921		ABC transporter ATP-binding protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00130			32113	32883	+	771		GntR family transcriptional regulator				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00135			32989	34194	-	1206		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00140			34748	35455	+	708		SAM-dependent methyltransferase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00145			35442	36464	+	1023		NGG1p interacting factor 3 protein, NIF3				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00150			36503	37741	+	1239		peptidase T				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00155			37858	40461	+	2604		protein disaggregation chaperone				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00160			41118	41318	-	201		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00165			41679	45029	+	3351	dnaE	DNA polymerase III DnaE			2.7.7.7|DNA-directed DNA polymerase	00230|Purine metabolism;00240|Pyrimidine metabolism
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00170			45143	46105	+	963		6-phosphofructokinase			2.7.1.11|6-phosphofructokinase	00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00052|Galactose metabolism;00680|Methane metabolism
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00175			46191	47951	+	1761		pyruvate kinase			2.7.1.40|Pyruvate kinase	00010|Glycolysis / Gluconeogenesis;00230|Purine metabolism;00620|Pyruvate metabolism;00710|Carbon fixation in photosynthetic organisms
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00180			48935	49393	+	459		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00185			49449	50336	+	888		DNA-binding protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00190			50344	51234	+	891		recombinase XerD				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00195			51273	51656	+	384		RibT protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00200			51622	52389	+	768		segregation and condensation protein A				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00205			52376	52975	+	600		segregation and condensation protein B				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00210			52975	53691	+	717		pseudouridine synthase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00215			53991	54545	+	555		membrane protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00220			54881	55924	+	1044		hypothetical protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00225			55911	57350	+	1440		ATP-dependent DNA helicase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00230			57412	58044	+	633		peptidoglycan-binding protein				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00235			58079	58765	+	687		cytidylate kinase				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00240			58855	60144	+	1290		30S ribosomal protein S1				
1590.75	Lactobacillus plantarum 90sk	JXAX01000001	RefSeq	CDS		SC12_00245			60279	61589	+	1311	engA	GTP-binding protein Der				
