genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0001	b0001		190	255	+	66	thrL	thr operon leader peptide		GO:0009088|threonine biosynthetic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0002	b0002		337	2799	+	2463	thrA	fused aspartokinase I and homoserine dehydrogenase I		GO:0005737|cytoplasm;GO:0009086|methionine biosynthetic process;GO:0009088|threonine biosynthetic process;GO:0009090|homoserine biosynthetic process	1.1.1.3|Homoserine dehydrogenase	00260|Glycine, serine and threonine metabolism;00270|Cysteine and methionine metabolism;00300|Lysine biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0003	b0003		2801	3733	+	933	thrB	homoserine kinase		GO:0005737|cytoplasm;GO:0009088|threonine biosynthetic process	2.7.1.39|Homoserine kinase	00260|Glycine, serine and threonine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0004	b0004		3734	5020	+	1287	thrC	threonine synthase		GO:0005737|cytoplasm;GO:0009088|threonine biosynthetic process	4.2.3.1|Threonine synthase	00260|Glycine, serine and threonine metabolism;00750|Vitamin B6 metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0005	b0005		5234	5530	+	297	yaaX	predicted protein				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0006	b0006		5683	6459	-	777	yaaA	conserved protein				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0007	b0007		6529	7959	-	1431	yaaJ	predicted transporter		GO:0009274|peptidoglycan-based cell wall;GO:0019866|organelle inner membrane		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0008	b0008		8238	9191	+	954	talB	transaldolase B		GO:0005737|cytoplasm;GO:0009052|pentose-phosphate shunt, non-oxidative branch	2.2.1.2|Transaldolase	00030|Pentose phosphate pathway
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0009	b0009		9306	9893	+	588	mog	predicted molybdochelatase		GO:0005737|cytoplasm;GO:0006777|Mo-molybdopterin cofactor biosynthetic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0010	b0010		9928	10494	-	567	yaaH	conserved inner membrane protein associated with acetate transport				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0011	b0011		10643	11356	-	714	yaaW	conserved protein				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0013	b0013		11382	11786	-	405	yaaI	predicted protein				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0014	b0014		12163	14079	+	1917	dnaK	chaperone Hsp70, co-chaperone with DnaJ		GO:0005737|cytoplasm;GO:0006457|protein folding;GO:0006970|response to osmotic stress		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0015	b0015		14168	15298	+	1131	dnaJ	chaperone Hsp40, co-chaperone with DnaK		GO:0005737|cytoplasm;GO:0006457|protein folding		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0016	b0016		15445	16557	+	1113	insL	IS186/IS421 transposase				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0018	b0018		16751	16960	-	210	mokC	regulatory protein for HokC, overlaps CDS of hokC				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b4412	b4412		16751	16903	-	153	hokC	toxic membrane protein, small				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0019	b0019		17489	18655	+	1167	nhaA	sodium-proton antiporter		GO:0009268|response to pH;GO:0009274|peptidoglycan-based cell wall;GO:0019866|organelle inner membrane		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0020	b0020		18715	19620	+	906	nhaR	DNA-binding transcriptional activator		GO:0005737|cytoplasm;GO:0006350|transcription;GO:0009268|response to pH;GO:0016563|transcription activator activity		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0021	b0021		19811	20314	-	504	insB	IS1 transposase InsAB'				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0022	b0022		20233	20508	-	276	insA	KpLE2 phage-like element; IS1 repressor protein InsA				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0023	b0023		20815	21078	-	264	rpsT	30S ribosomal subunit protein S20		GO:0003735|structural constituent of ribosome;GO:0005737|cytoplasm;GO:0006412|translation;GO:0009281|cytosolic ribosome (sensu Bacteria)		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0024	b0024		21181	21399	+	219	yaaY	predicted protein				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0025	b0025		21407	22348	+	942	ribF	bifunctional riboflavin kinase/FAD synthetase		GO:0005737|cytoplasm	2.7.7.2|FAD synthetase	00740|Riboflavin metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0026	b0026		22391	25207	+	2817	ileS	isoleucyl-tRNA synthetase		GO:0005737|cytoplasm;GO:0006418|tRNA aminoacylation for protein translation	6.1.1.5|Isoleucine--tRNA ligase	00970|Aminoacyl-tRNA biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0027	b0027		25207	25701	+	495	lspA	prolipoprotein signal peptidase (signal peptidase II)		GO:0009274|peptidoglycan-based cell wall;GO:0019866|organelle inner membrane	3.4.23.36|Signal peptidase II	
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0028	b0028		25826	26275	+	450	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)		GO:0005737|cytoplasm;GO:0006457|protein folding	5.2.1.8|Peptidylprolyl isomerase	
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0029	b0029		26277	27227	+	951	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein		GO:0005737|cytoplasm;GO:0042493|response to drug	1.17.1.2|4-hydroxy-3-methylbut-2-enyl diphosphate reductase	00900|Terpenoid backbone biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0030	b0030		27293	28207	+	915	rihC	ribonucleoside hydrolase 3		GO:0009226|nucleotide-sugar biosynthetic process	3.2.2.-|Hydrolyzing N-glycosyl compounds.	
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0031	b0031		28374	29195	+	822	dapB	dihydrodipicolinate reductase		GO:0005737|cytoplasm;GO:0009089|lysine biosynthetic process via diaminopimelate;GO:0009274|peptidoglycan-based cell wall	1.3.1.26|Dihydrodipicolinate reductase	
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0032	b0032		29651	30799	+	1149	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase		GO:0006221|pyrimidine nucleotide biosynthetic process;GO:0006526|arginine biosynthetic process	6.3.5.5|Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00240|Pyrimidine metabolism;00250|Alanine, aspartate and glutamate metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0033	b0033		30817	34038	+	3222	carB	carbamoyl-phosphate synthase large subunit		GO:0006221|pyrimidine nucleotide biosynthetic process;GO:0006526|arginine biosynthetic process	6.3.5.5|Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	00240|Pyrimidine metabolism;00250|Alanine, aspartate and glutamate metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0034	b0034		34300	34695	+	396	caiF	DNA-binding transcriptional activator		GO:0005737|cytoplasm;GO:0006350|transcription;GO:0009310|amine catabolic process;GO:0016563|transcription activator activity		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0035	b0035		34781	35371	-	591	caiE	predicted acyl transferase		GO:0009310|amine catabolic process;GO:0042413|carnitine catabolic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0036	b0036		35377	36162	-	786	caiD	crotonobetainyl CoA hydratase		GO:0009310|amine catabolic process;GO:0042413|carnitine catabolic process	4.2.1.-|Hydro-lyases.	00040|Pentose and glucuronate interconversions;00061|Fatty acid biosynthesis;00253|Tetracycline biosynthesis;00300|Lysine biosynthesis;00350|Tyrosine metabolism;00362|Benzoate degradation via hydroxylation;00363|Bisphenol A degradation;00623|2,4-Dichlorobenzoate degradation;00626|Naphthalene and anthracene degradation;00650|Butanoate metabolism;00860|Porphyrin and chlorophyll metabolism;00903|Limonene and pinene degradation;01056|Biosynthesis of type II polyketide backbone;01057|Biosynthesis of type II polyketide products
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0037	b0037		36271	37824	-	1554	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase		GO:0009274|peptidoglycan-based cell wall;GO:0009310|amine catabolic process;GO:0019866|organelle inner membrane	6.3.2.-|Acid--D-amino-acid ligases (peptide synthases).	00300|Lysine biosynthesis;00380|Tryptophan metabolism;01053|Biosynthesis of siderophore group nonribosomal peptides
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0038	b0038		37898	39115	-	1218	caiB	crotonobetainyl CoA:carnitine CoA transferase		GO:0005737|cytoplasm;GO:0009310|amine catabolic process;GO:0042413|carnitine catabolic process	2.8.3.-|CoA-transferases.	00281|Geraniol degradation;00626|Naphthalene and anthracene degradation;00720|Reductive carboxylate cycle (CO2 fixation)
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0039	b0039		39244	40386	-	1143	caiA	crotonobetaine reductase subunit II, FAD-binding		GO:0005737|cytoplasm;GO:0006097|glyoxylate cycle;GO:0009054|electron acceptor activity;GO:0009310|amine catabolic process;GO:0042413|carnitine catabolic process	1.3.99.-|With other acceptors.	00071|Fatty acid metabolism;00280|Valine, leucine and isoleucine degradation;00281|Geraniol degradation;00362|Benzoate degradation via hydroxylation;00626|Naphthalene and anthracene degradation;00930|Caprolactam degradation
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0040	b0040		40417	41931	-	1515	caiT	predicted transporter		GO:0009274|peptidoglycan-based cell wall;GO:0016052|carbohydrate catabolic process;GO:0019866|organelle inner membrane		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0041	b0041		42403	43173	+	771	fixA	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain		GO:0016052|carbohydrate catabolic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0042	b0042		43188	44129	+	942	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like		GO:0016052|carbohydrate catabolic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0043	b0043		44180	45466	+	1287	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain		GO:0042413|carnitine catabolic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0044	b0044		45463	45750	+	288	fixX	predicted 4Fe-4S ferredoxin-type protein		GO:0042413|carnitine catabolic process		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0045	b0045		45807	47138	+	1332	yaaU	predicted transporter		GO:0009274|peptidoglycan-based cell wall;GO:0019866|organelle inner membrane		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0046	b0046		47246	47776	+	531	kefF	flavoprotein subunit for the KefC potassium efflux system				
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0047	b0047		47769	49631	+	1863	kefC	potassium:proton antiporter		GO:0009274|peptidoglycan-based cell wall;GO:0015386|potassium:hydrogen antiporter activity;GO:0019866|organelle inner membrane		
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0048	b0048		49823	50302	+	480	folA	dihydrofolate reductase		GO:0046656|folic acid biosynthetic process	1.5.1.3|Dihydrofolate reductase	00670|One carbon pool by folate;00790|Folate biosynthesis
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0049	b0049		50380	51222	-	843	apaH	diadenosine tetraphosphatase		GO:0005737|cytoplasm;GO:0015949|nucleobase, nucleoside and nucleotide interconversion	3.6.1.41|Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	00230|Purine metabolism
511145.12	Escherichia coli str. K-12 substr. MG1655	NC_000913	RefSeq	CDS		b0050	b0050		51229	51606	-	378	apaG	protein associated with Co2+ and Mg2+ efflux				
